entity_id,display_name,category,confidence,claim_type,pool_id_bech32,ticker,pool_status,current_active_stake_ada,current_pct_supply,current_pct_saturation,declared_pledge_ada,pledge_tag,margin_pct,fixed_cost_ada,health_tag_current,saturation_tag_current,snapshot_epoch_no,snapshot_owner_active_stake_ada,snapshot_declared_pledge_ada,snapshot_owner_vs_pledge_ratio,snapshot_pledge_tag,meta_domain,meta_url,pool_group,adastat_group,balanceanalytics_group,reward_addr,relay_hints
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,registered,68307827.040,0.1775,88.75,50000.000,Low pledge,1.00,340.000,Healthy core,Near saturation,618,50580.873,50000.000,1.012,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT0v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9jvp3ztavcsyd0thp0g9l597a7s65cafed4psaxvmxpm9gsu5yqy,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1PCT2,registered,52550551.642,0.1366,68.28,50000.000,Low pledge,1.00,340.000,Healthy core,Mid-scale,618,50549.930,50000.000,1.011,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT2v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxzmj7c9vywsng2x46w9kerf6y33u8mfhcv4lrk8u0f304qcg967n,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT7,registered,27908340.792,0.0725,36.26,50000.000,Low pledge,1.00,340.000,Healthy core,Mid-scale,618,50498.796,225000.000,0.224,Below pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT7v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u8k3jkqhl76g3pmqxn93e54g452kkjlxnjwe54z2fuq52fgjsgatf,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,1PCT9,registered,16348547.823,0.0425,21.24,50000.000,Low pledge,1.00,340.000,Healthy core,Mid-scale,618,50412.648,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT9v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9fqu6dnrtd9k26w5uq0t98hdk9qyrdgqueuwq5xmsrr08csk072a,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,registered,15646775.080,0.0407,20.33,50000.000,Low pledge,1.00,340.000,Healthy core,Mid-scale,618,50420.235,225000.000,0.224,Below pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT3v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxh55l4zvgf4gw4hdnmfy4x59jxrj6p3qhv3grm45n30w6gu0yf84,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1vnsfv2qpt5gxte9prupjey8kw7ap7t6c8lc02ks4s3gtqplhgd3,1PCT4,registered,12258037.222,0.0319,15.93,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50389.846,225000.000,0.224,Below pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT4v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9dnvat2sf6wgq5a84tjxnhm28cgg9s5ygqa4zlq3wssztc5w5qra,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1g0nq3m3fnvd245k4favcvutn09vce0yshg535f68d2xa54vy0cc,1PCT3,registered,10590038.135,0.0275,13.76,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50382.465,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT3v2.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uyuq74amr0y0eq4224vrffh227z7nc6j4u2mxa0wlgav9dqc598de,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1uzla0r73fvpnvxr07m98nfzlxcv3q26mkjz00cqjfh7uqsyjkju,1PCT1,registered,10126851.344,0.0263,13.16,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50399.888,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT1v2.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uywcdw5sd764aggcnmw0fez8hhqt9ksd7f4vzwuy5r54dng43dgm6,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1g8y2gz4sk7xhyaj469jlj3njyu5dlvqa7t7v9c2gk0yc69879z8,1PCT0,registered,7779588.306,0.0202,10.11,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50383.455,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT0v2.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxpgwu3d0vdhntnrk5ydz2egkj2ws2uksvgulg4mgqspy2su328qu,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1PCT5,registered,7262218.273,0.0189,9.44,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50409.041,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT5v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uyrrkcs5ty6t92d47lykd3qck60numwl9axuwl5562hyajc5plac9,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool17qvfg2g843gw6lurru282kkex6vp3pyj6zwj99j4u6k7zvmva5a,1PCT4,registered,6157965.640,0.0160,8.00,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50381.279,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT4v2.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9uk3k8s0nhqlstu70yhfhw4a4284kv4y3d4kx8tn5wlgds3jm45h,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1s3z5qsg75dar26ykyzcz2u8wc2swgq7pyp7f9sdh5n06qh3jhq2,1PCT1,registered,6022351.523,0.0156,7.82,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50386.076,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT1v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1ux0agm9cx4hnln8t0hqghlnl7dzqqdmkwsn8g0vvyac2egqwjzvrq,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1nyf8x2xrlmfqwy9shqrlx2csentnzyjmxr0r3w0ljuaqz5ek7qz,1PCT6,registered,5654328.406,0.0147,7.35,50000.000,Low pledge,1.00,340.000,Healthy core,Underfilled,618,50380.491,50000.000,1.008,Meets pledge in latest local snapshot,www.1percentpool.eu,https://www.1percentpool.eu/1PCT6v3.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxcj8ktwktq36yvmplst25d38g2zg8m03xgfm2etnp8dwps6fhule,r1.1percentpool.eu; r2.1percentpool.eu
